"CENSUS_ID","LENGTH","PRE_DIR","the_geom","STREET_NAM","STREET_TYP","SUF_DIR","ROUTE_NUMB","CFCC","F_ZLEVEL","T_ZLEVEL","TRAVEL_DIR","ONEWAY","SPEED","L_MUNI","R_MUNI","GlobalID"
"310","351.804",,"MULTILINESTRING ((-77.03195918741653 38.99608280274102, -77.03206831440262 38.996196804867445, -77.0323209074601 38.99650082214783, -77.03238074781994 38.996555719528835, -77.03244586610946 38.9966106154149, -77.03251714198112 38.996665509552756, -77.03260909248563 38.9967243452743, -77.03275647184277 38.99681019268808))","2ND","AVE",,,"A30","0","0","2",,"25","MCG","MCG","fd1bef32-9fd3-45e9-b284-149d34fd1a40"
"29,266","315.832",,"MULTILINESTRING ((-77.00991904482765 38.99600454800495, -77.01004396096279 38.996063913035364, -77.01022957450989 38.99613253936555, -77.01051854874328 38.99623110208027, -77.0108391869754 38.99629774152783, -77.01094826507965 38.99631901051766))","DALE","DR",,,"A30","0","0","2",,"40","MCG","MCG","c4f51ab0-5edb-4812-bb92-98a2f9944b9c"
"115,799","251.138",,"MULTILINESTRING ((-77.00922320032821 38.99558502770508, -77.00929709734639 38.9956490304624, -77.00938682838776 38.99571740898294, -77.00949371355254 38.99578595629767, -77.00961643116021 38.995854846326225, -77.00983459443282 38.99596319762931, -77.00991904482765 38.99600454800495))","DALE","DR",,,"A30","0","0","2",,"40","MCG","MCG","518e4bf8-196d-409e-a5a9-485e3a07aba2"
"106,048","319.964",,"MULTILINESTRING ((-77.23021662942583 38.995344619165266, -77.23026384336222 38.99539223287678, -77.23038862341268 38.99548894537884, -77.23082533849376 38.99575373149946, -77.23108530112312 38.9958989991907))","MAC ARTHUR","BLVD",,,"A30","0","0","2",,"30","MCG","MCG","0927b6ef-8117-427f-9cba-e25d354a19e4"
"17,366","303.87",,"MULTILINESTRING ((-77.21905359663566 38.99530925276614, -77.21915767832093 38.995402155054286, -77.21970348446956 38.99597138115443))","BRICKYARD","RD",,,"A30","0","0","2",,"30","MCG","MCG","ad568b1b-ee75-4e2d-a893-eef4b3588876"
"53,672","768.269",,"MULTILINESTRING ((-77.05398329568834 38.99756923192499, -77.05406937543236 38.99740307755034, -77.05413478417377 38.99723839109961, -77.05415495833243 38.99716244632177, -77.05418258952805 38.99706032749069, -77.05421324128126 38.99688184211543, -77.05422013951524 38.99669933567074, -77.05419397712436 38.99641937230223, -77.05408595626442 38.99549068844823))","LYTTONSVILLE","RD",,,"A30","0","0","2",,"40","MCG","MCG","838a9d30-5446-42ce-b607-15abe1b0a96b"
"133,313","327.084",,"MULTILINESTRING ((-77.16067022829651 38.995367371559524, -77.16064221367496 38.99542652818659, -77.16060109865276 38.995527403578166, -77.16056747851461 38.9956363337124, -77.16053435706301 38.995771433788065, -77.1605191544011 38.99585614258817, -77.16050404256521 38.99598117919196, -77.1604910125682 38.99624941816305))","SEVEN LOCKS","RD",,,"A30","0","0","2",,"40","MCG","MCG","18cdccb1-a668-4f7f-97c6-a7c1102fecba"
"120,221","1,225.9",,"MULTILINESTRING ((-77.18589091987954 38.995201908415346, -77.18609857548975 38.99539489356099, -77.18666868519102 38.995940638563944, -77.18835244852913 38.99749140888898, -77.18855729253937 38.99761369231243, -77.1887449178703 38.99771146299966))","PERSIMMON TREE","RD",,,"A30","0","0","2",,"30","MCG","MCG","874b8ee9-00f4-42a6-8710-f0e581ffb9ea"
"131,195","104.994",,"MULTILINESTRING ((-77.05408595626442 38.99549068844823, -77.05406299789432 38.995374606866825, -77.05400701653758 38.995209462086294))","LYTTONSVILLE","RD",,,"A30","0","0","2",,"40","MCG","MCG","4a6a9813-1b3a-4baf-b13b-904cbd64f8aa"
"129,074","247.802",,"MULTILINESTRING ((-77.09726206710535 38.994858531914296, -77.09720713540182 38.99489195474904, -77.09714518189652 38.99493568066022, -77.09707927213375 38.994980953826484, -77.0969575149694 38.99503253665617, -77.09686344233421 38.99506693582165, -77.09676980731976 38.99509978964325, -77.09666781372545 38.995131106291936, -77.09649677082727 38.99516411031328))","WOODMONT","AVE",,,"A40","0","0","1","Y","30","MCG","MCG","b02a447a-a218-4fee-b4d2-57ad4f8c6c94"
"309","571.469",,"MULTILINESTRING ((-77.03066736967331 38.99488893966588, -77.03081518459602 38.99497916562264, -77.03093352653099 38.99505275294812, -77.03111436361257 38.99522465518035, -77.03195918741653 38.99608280274102))","2ND","AVE",,,"A30","0","0","2",,"25","MCG","MCG","daaa8393-8a9a-4d8a-939e-895c2cda8319"
"308","133.463",,"MULTILINESTRING ((-77.03021564200408 38.99478883836035, -77.03066736967331 38.99488893966588))","2ND","AVE",,,"A30","0","0","2",,"25","MCG","MCG","60bb3fdd-ee61-4485-9db9-bf459343e013"
"53,671","216.868",,"MULTILINESTRING ((-77.05400701653758 38.995209462086294, -77.05396077820437 38.995132689470516, -77.0538520331735 38.9949863591271, -77.05355101692804 38.99473852603595))","LYTTONSVILLE","RD",,,"A30","0","0","2",,"40","MCG","MCG","7e43fd87-bcf5-4bb6-b620-588d3f5699a0"
"86,128","325.937",,"MULTILINESTRING ((-77.02685276505807 38.99453756883582, -77.02725123744975 38.994556439837915, -77.0279984649574 38.994538244291064))","WAYNE","AVE",,,"A30","0","0","2",,"30","MCG","MCG","32ea7ac2-a23e-4670-9f7f-e500e6959aab"
"86,129","340.415",,"MULTILINESTRING ((-77.0279984649574 38.994538244291064, -77.0290372800605 38.99451302213413, -77.0291956099896 38.99450886417959))","WAYNE","AVE",,,"A30","0","0","2",,"30","MCG","MCG","0b0c3709-2c27-4d4d-89d9-f4e3ab8c759b"
"128,291","307.333",,"MULTILINESTRING ((-77.0291956099896 38.99450886417959, -77.0293944257889 38.99456484445773, -77.02978898053645 38.99467611655615, -77.03021564200408 38.99478883836035))","WAYNE","AVE",,,"A30","0","0","2",,"30","MCG","MCG","4817d65a-6045-4151-a80d-5d9f74a48540"
